shortcut,property,values
al,align-items,stretch|center|flex-start|flex-end|baseline|initial|inherit
bt,bottom,0|auto|length|initial|inherit
cl,clear,none|left|right|both|initial|inherit
dp,display,inline|block|contents|flex|grid|inline-block|inline-flex|inline-grid|inline-table|list-item|run-in|table|table-caption|table-column-group|table-header-group|table-footer-group|table-row-group|table-cell|table-column|table-row|none|initial|inherit
ht,height,auto|length|initial|inherit
jc,justify-content,flex-start|flex-end|center|space-between|space-around|initial|inherit
lf,left,0|auto|length|initial|inherit
lh,line-height,normal|length|initial|inherit
mx-ht,max-height,auto|length|initial|inherit
mx-wt,max-width,auto|length|initial|inherit
mn-ht,min-height,auto|length|initial|inherit
mn-wt,min-width,auto|length|initial|inherit
mg,margin,length|auto|initial|inherit|topbot|leftright
mg-bt,margin-bottom,length|auto|initial|inherit
mg-lf,margin-left,length|auto|initial|inherit
mg-rg,margin-right,length|auto|initial|inherit
mg-tp,margin-top,length|auto|initial|inherit
of,overflow,visible|hidden|scroll|auto|initial|inherit
of-x,overflow-x,visible|hidden|scroll|auto|initial|inherit
of-y,overflow-y,visible|hidden|scroll|auto|initial|inherit
pg,padding,length|auto|initial|inherit|topbot|leftright
pg-bt,padding-bottom,length|auto|initial|inherit
pg-lf,padding-left,length|auto|initial|inherit
pg-rg,padding-right,length|auto|initial|inherit
pg-tp,padding-top,length|auto|initial|inherit
ps,position,static|absolute|fixed|relative|sticky|initial|inherit
rg,right,0|auto|length|initial|inherit
tp,top,0|auto|length|initial|inherit
va,vertical-align,baseline|length|sub|super|top|text-top|middle|bottom|text-bottom|initial|inherit
vb,visibility,visible|hidden|collapse|initial|inherit
wt,width,auto|length|child|initial|inherit